iter	Passed	Remaining
213	297	1092
214	297	1088
215	298	1084
216	299	1080
217	299	1075
218	300	1071
219	301	1067
220	301	1063
221	302	1059
222	303	1055
223	303	1051
224	304	1048
225	304	1044
226	305	1040
227	306	1036
228	306	1032
229	307	1029
230	308	1026
231	308	1022
232	309	1019
233	310	1015
234	310	1012
235	311	1008
236	312	1005
237	312	1001
238	313	998
239	314	995
240	314	991
241	315	988
242	316	984
243	316	981
244	317	978
245	318	975
246	318	971
247	319	968
248	320	965
249	320	962
250	321	959
251	322	956
252	322	953
253	323	949
254	324	946
255	324	943
256	325	940
257	326	937
258	326	934
259	327	931
260	328	928
261	328	925
262	329	922
263	329	919
264	330	916
265	331	913
266	331	910
267	332	907
268	333	905
269	333	903
270	334	900
271	335	898
272	336	895
273	336	892
274	337	889
275	338	887
276	338	884
277	339	881
278	340	878
279	340	876
280	341	873
281	342	870
282	342	868
283	343	865
284	344	863
285	344	860
286	345	857
287	345	855
288	346	853
289	347	850
290	348	848
291	348	845
292	349	843
293	350	840
294	350	838
295	351	835
296	352	833
297	352	830
298	353	828
299	354	826
300	354	823
301	355	821
302	356	819
303	356	816
304	357	814
305	357	811
306	358	809
307	359	807
308	360	805
309	360	803
310	361	801
311	362	799
312	363	796
313	363	794
314	364	792
315	365	790
316	365	788
317	366	785
318	367	783
319	367	781
320	368	779
321	368	776
322	369	774
323	370	772
324	370	770
325	371	767
326	372	766
327	373	764
328	373	762
329	374	760
330	375	758
331	375	756
332	376	753
333	377	751
334	377	749
335	378	747
336	378	745
337	379	743
338	380	741
339	380	739
340	381	737
341	382	735
342	382	733
343	383	731
344	383	728
345	384	727
346	385	725
347	386	724
348	387	723
349	388	721
350	389	720
351	390	718
352	390	716
353	391	714
354	392	712
355	392	710
356	393	708
357	394	706
358	394	704
359	395	702
360	396	701
361	396	699
362	397	697
363	398	696
364	399	694
365	399	692
366	400	690
367	401	689
368	401	687
369	402	685
370	403	683
371	403	681
372	404	680
373	405	678
374	405	676
375	406	674
376	407	672
377	407	670
378	408	669
379	408	667
380	409	665
381	410	663
382	410	662
383	411	660
384	412	658
385	413	657
386	413	655
387	414	653
388	415	652
389	415	650
390	416	648
391	417	647
392	417	645
393	418	643
394	419	641
395	419	640
396	420	638
397	420	636
398	421	635
399	422	633
400	422	631
401	423	630
402	424	628
403	425	627
404	425	625
405	426	624
406	427	622
407	427	620
408	428	618
409	428	617
410	429	615
411	430	614
412	430	612
413	431	610
414	432	608
415	432	607
416	433	605
417	433	603
418	434	602
419	434	600
420	435	598
421	436	597
422	436	595
423	437	594
424	438	592
425	438	591
426	439	589
427	439	587
428	440	586
429	441	584
430	441	582
431	442	581
432	443	580
433	443	578
434	444	577
435	444	575
436	445	573
437	445	572
438	446	570
439	447	569
440	447	567
441	448	565
442	448	564
443	449	563
444	450	561
445	450	560
446	451	558
447	452	557
448	452	555
449	453	554
450	454	552
451	454	551
452	455	549
453	455	548
454	456	546
455	457	545
456	457	544
457	458	542
458	459	541
459	459	539
460	460	538
461	460	536
462	461	535
463	462	534
464	463	532
465	463	531
466	464	530
467	465	528
468	465	527
469	466	525
470	466	524
471	467	523
472	468	521
473	468	520
474	469	519
475	470	517
476	471	516
477	471	515
478	472	513
479	472	512
480	473	510
481	474	509
482	475	508
483	475	507
484	476	506
485	477	504
486	477	503
487	478	502
488	479	500
489	479	499
490	480	498
